date,star_count,comment
22.11.2021,4.0,"Достоинства: Камера, аккумулятор телефона, летает. Комментарий: Комментарий:Покупал в Мечте. Оплатил наличкой и ждал свой
          товар месяц и 4 дня, кормили словами «на следующей неделе»."
09.12.2021,5.0,"Достоинства: Все шикарно, телефон удобен и быстр в
          использовании, памяти достаточно лично для меня. Недостатки: Плохо, что блок для зарядки нужно самому за
          бешеные деньги покупать."
22.10.2021,5.0,Достоинства: А15 bionic летает!) Комментарий: Комментарий:Обслужили очень оперативно.
16.01.2024,1.0,"Комментарий: Комментарий:Телефон бракованный, греется страшно, при
          фотографировании, при разговоре глючит, но зато магазин не хочет брать
          на себя ответственность, мой совет не покупайте у onMarket,
          безответственный."
17.06.2022,1.0,"Недостатки: Огорчена покупкой. Сборка Дубайская. Вернуть не
          получилось, так как активировала телефон."
08.12.2021,5.0,"Достоинства: Телефонның қуаты тезірек қуатталады. Түсі өте
          әдемі. Жеткізуі өз уақытынан ерте келді. Комментарий: Комментарий:Ойланбай алып алуға болады."
26.12.2021,5.0,"Комментарий: Комментарий:Телефон приобрела в Сулпаке, после 7+ Переход на
          13."
02.01.2024,1.0,Комментарий: Комментарий:Простой сөзим жооқ. ужасный. Ашылған болып келді.
17.04.2022,1.0,Комментарий: Комментарий:Дорого.
29.03.2022,1.0,"Недостатки: В комплектации нет наушников, нет адаптера к шнуру
          от зарядки, нет инструкций. Комментарий: Комментарий:Сегодня получили заказ Айфон 13, какая-то
          странная комплектация - нет наушников, от зарядки только шнур, без
          адаптера, нет в коробке ни одной инструкции, очень странно. При такой
          стоимости наушники следовало вложить. Сам телефон еще не включали,
          очень хочется надеяться, что без отрицательных сюрпризов."
02.12.2021,3.0,Комментарий: Комментарий:Зависает иногда.
21.02.2022,3.0,"Достоинства: Хорошо. Недостатки: EAC нет, жаль."
26.07.2024,1.0,"Комментарий: Комментарий:Самый ужасный магазин взял братишке в подарок
          телефон на второй день начал гнать, сказал ошибка, посмотрели, сказали
          все нормально на второй день, отправили в центр, неделю как там (нет,
          надо, обменять или же заделать возврат, потому мне телефон который
          нормально не работает, тоже не надо, я не бесплатно это беру. Продавец
          вообще звонки не хочет брать, пишем- игнорит, не хочет отвечать когда
          разговариваешь, бросает телефон. Одним словом не рекомендую брать
          именно в этот магазин телефон, лучше купите в надежном месте просто
          так деньги на ветер, не только деньги и нервы."
26.10.2021,5.0,"Достоинства: Удобный. Слишком красивый. Телефон неплохой,
          смотрится элегантно, берите)"
25.10.2021,5.0,"Комментарий: Комментарий:Өте жақсы, үлкен рахмет. Тез келді."
25.10.2021,5.0,"Комментарий: Комментарий:Классный телефон, советую многим."
27.04.2022,3.0,Недостатки: Батарейка быстро садится.
15.04.2022,3.0,"Недостатки: Қатып тұрады, 2 ай ғана болды ұстап жүргеніме."
22.10.2021,5.0,"Достоинства: Очень удобный и легкий. Недостатки: Адаптер, конечно. Комментарий: Комментарий:Спасибо магазину Каспи и ALSER."
25.03.2023,1.0,"Комментарий: Комментарий:Взяла телефон, iphonе 13 через Artis optima. И
          как выяснилось официальные сервис центры по гарантии этот телефон не
          обслуживают. Дали соответствующий акт, где указано, что обслуживание
          по гарантии в РК невозможно из за региональных ограничений на
          устройство. Т.е. если ваш телефон сломается в течении 12 мес,
          необходимо обращаться к продавцу, который осуществит ремонт у
          соответствующего ""сервиса"". Телефон не предназначен для нашего
          региона. Покупайте телефоны у официального дилера."
26.12.2021,5.0,"Достоинства: Быстро привыкаешь после андроидов и обратно уже
          не хочется. Совет: берите в магазинах с сертификатом от Аpple, это
          защитит вас от покупки «серых» айфонов. Недостатки: После андроида тяжело персонализировать под себя."
10.11.2021,5.0,"Комментарий: Комментарий:Купил жене, жена очень довольна."
21.10.2021,5.0,Комментарий: Комментарий:Отличный телефон.
22.02.2024,1.0,"Комментарий: Комментарий:Это нормально, что он греется? Здравствуйте.
          Смущает очень сильно."
15.03.2022,5.0,Достоинства: Айфон есть айфон. Ликвидный как тойота. Недостатки: Из недостатков айфона всегда была цена. Комментарий: Комментарий:Доставили в срок.
22.10.2021,5.0,"Комментарий: Комментарий:Телефон отличный, быстрая доставка."
25.04.2024,1.0,"Комментарий: Комментарий:Снова купилась на отзывы. Глючит, виснет
          постоянно. Временами не слышно, звук пропадает. Пожалела, что
          приобрела. Не советую."
12.01.2022,5.0,Комментарий: Комментарий:Жене сделал подарок на Новый год.
05.02.2022,2.0,Достоинства: Нормальный телефон. Недостатки: Нет зарядки.
24.10.2021,5.0,"Комментарий: Комментарий:Без слов, все отлично."
10.07.2022,3.0,"Недостатки: Пришел темно-синий. Apple, как всегда экономит на
          блоке зарядного. Комментарий: Комментарий:Телефон достойный, еще бы цену скинуть)"
08.12.2021,4.0,Недостатки: Отсутствует зарядка и наушники. Комментарий: Комментарий:Айфон он и в Африке айфон.
18.11.2021,5.0,"Достоинства: Ұнады, динамигі күшті."
06.12.2023,1.0,"Комментарий: Комментарий:С телефоном все в порядке, но продавца EuroTech
          не рекомендую. Сначала задержал заказ на несколько дней, позвонила,
          говорит мол ну чёрные телефоны закончились, можем отправить только
          синий или зелёный. Спрашиваем, а зачем заказ приняли, он говорит не
          рассчитал. Спрашиваю когда поставка будет, говорит не знает. Я уже
          расстроилась, хотела именно чёрный. Пришлось поругаться, сразу и
          телефон чёрный нашелся и отправить сегодня могут. В общем, пытались
          видимо сплавить непродаваемые цвета. С самим телефоном проблем нет, но
          продавца выбирайте другого!"
01.08.2022,1.0,"Недостатки: Перенагревается, особенно когда заряжаю. Не стоит
          своей цены."
30.10.2023,5.0,"Комментарий: Комментарий:Айфон жақсы шықты ұнады.    Өзің
          звандап тауар келдіма деп сұрастырып отыру керек екен, келседе код
          жібермей отырады екен, сол жағы ұнамады. Қазақстанда тұрып қазақша
          ақпарат ала алмайсын бәрі орысша сол жағы қынжылтады екен
          адамды.  Қазақша білетін азаматтарды  жұмысқа алсаңыздар
          керемет болар еді."
14.06.2022,5.0,"Достоинства: Классный, удобный. Недостатки: Все просят сфоткать. Комментарий: Комментарий:Спасибо магазину, очень быстро отправили и быстро
          пришел! Процветания вам."
24.12.2021,5.0,"Комментарий: Комментарий:Спасибо магазину! Продавец Ербол вежливый, все
          объяснил. Покупкой довольна, Айфон 13. Доставка быстрая."
22.11.2021,5.0,"Достоинства: Камера отличная, после 6 супер. Недостатки: Зарядку можно было положить в комплект. Комментарий: Комментарий:Обычный телефон, как все телефоны."
19.12.2023,3.0,"Комментарий: Комментарий:Барлығы жақсы, телефон оригинал, тексерттім.
          Подаркаға чехол бергенде жақсы болушы еді. Time technology. Зарядканың
          басы жоқ, оны бөлек алдым. Доставка кешке 9дарда келді. Гарантия бар,
          сонысы жақсы. Камера жақсы."
08.03.2023,3.0,"Недостатки: Ничего особенного в нем нет от слова совсем! Экран
          тупой, подвисает, фото стремные. Перешла с Самсунг s10, айфон даже
          близко по качеству фото не стоит, фото серые, макросъёмки нет.
          Приложения из 100, 80% платные. Разочарована очень!"
28.10.2022,1.0,"Недостатки: Не знаю почему, через некоторое время становится
          панель горячим."
22.08.2022,1.0,"Недостатки: Зарядкасы тез бітіп қалады, алуға тұрмайды."
11.11.2021,5.0,"Достоинства: Элегантный, красивый, удобный, среднего размера,
          качество фото и видео съемки просто супер."
25.10.2021,5.0,Достоинства: Все отлично. Недостатки: Зарядка и наушники.
